Település,Településtípus,Év,Belföldi oda- és elvándorlás különbsége ezer lakosra,Bűncselekmények száma ezer főre,Diplomások aránya (interpolált),Egy lakosra jutó SZJA adóalapot képező belföldi jövedelem (Ft),Gimnáziumi tanulók a nappali oktatásban ezer főre,Helyi önkormányzatok összes költségvetési bevétele (1000 Ft) egy főre,Iparűzési adó egy főre (1000 ft),Közüzemi ivóvízvezeték-hálózatba bekapcsolt lakások aránya (százalék),Lakások átlagos négyzetméterára,Alapszolgáltatásokon felüli kiadások egy főre (1000 Ft),Állami támogatások egy főre (pályázatok),"Az év folyamán épített lakás, 1000 lakásra (db)",Egy házi- és házi gyermekorvosra jutó lakos (fő),Élelmiszer és élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),Eltartottsági ráta,"Felsőfokú intézmények nappali tagozatos hallgatói (képzés helye szerint), 1000 lakosra (fő)",Gyógyszertárak tízezer főre,"Játszóterek, tornapályák, pihenőhelyek ezer főre",Közcsatornahálózatba bekapcsolt lakások aránya (százalék),Kulturális rendezvényeken részt vevők száma egy főre,Legközelebbi legalább 50 ezer fős város elérési ideje közúton a legrövidebb úton (perc),Nem élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),"Nyilvántartott álláskereső, 100 15-64 évesre (fő)",Önkormányzati járdák kiépítettsége (százalék),Önkormányzati utak kiépítettsége (százalék),"SZJA adófizető, 100 lakosra (fő)",Vendégéjszakák száma a kereskedelmi szálláshelyeken száz főre (db),Vendéglátóhelyek száma tízezer főre (db),25 év alatti nyilvántartott álláskeresők aránya (százalék),"Alkotó művelődési közösségek tagjai, 100 lakosra (fő)",Bevásárlóközpontok (városok) (igen-nem),Házi segítségnyújtásban részesülők ezer főre,Helyközi autóbusz-megálló léte (igen-nem),Internet-előfizetések száma ezer főre,Jelzőrendszeres házi segítségnyújtásban részesülők tízezer főre,Kormányablak léte (igen-nem),Közüzemi szennyvízgyűjtő-hálózatban (közcsatornában) tisztítottan elvezetett szennyvíz aránya (százalék),Lakosságtól szelektíven elszállított települési hulladék aránya (százalék),Lakott területen történt összes közúti közlekedési baleset ezer főre (eset),Mozi léte (igen-nem),"Múzeumi látogatók, 100 lakosra (fő)","Működő kórházi ágy, 1000 lakosra (db)",Önkormányzat által kiutalt lakások ezer főre (db),Postai szolgáltatóhelyek tízezer lakosra,"Rendőrkapitányság, határrendészeti kirendeltség, rendőrőrs, körzeti megbízott székhely léte (igen-nem)","Rendszeres művelődési formákban résztvevők, 100 lakosra (fő)",Szállított utasok a helyi tömegközlekedésben (városok) (1000 fő),"Személygépkocsi, 1000 lakosra (db)",Színház léte (igen-nem),Színházak látogatói (fő),"Természetes szaporodás, fogyás (ezrelék)",Utaskilométer a helyi tömegközlekedésben (városok) (1000 km),Vasútállomás léte (igen-nem),Indexpontszám,Rangsor
Kisasszond,Kistelepülés,2022,"-95,2",0,"6,8","1537467,4",0,"280,2","3,48","94,7",0,"2,9",0,0,,0,48,0,0,0,0,1,21,0,"1,3",100,"2,3",52,0,0,0,0,1,"54,1",100,0,0,1,95,"10,92",0,1,0,0,0,0,1,0,0,"479,7",1,0,"-12,7",0,1,"7,1",2675
Kupa,Kistelepülés,2022,-52,0,0,"1220422,6",0,"604,1",0,"77,2",0,"52,4","33775,3",0,,"101,4","52,6",0,0,0,"49,37",1,41,0,"13,6","79,2","4,3",51,0,0,0,0,1,0,100,"202,7",0,1,100,"23,08",0,1,13,0,0,0,1,0,0,"310,8",1,0,"6,5",0,1,"6,5",2774
Sósvertike,Kistelepülés,2022,"-87,3",0,"2,7","1316961,5",0,"668,1","3,38","81,2",0,"14,1",0,0,,"101,4","33,3",0,0,0,0,"0,8",56,0,"14,2","66,7",6,59,0,0,"5,3",0,1,27,100,"195,9",0,1,95,0,0,1,0,0,0,0,1,0,0,"256,8",1,0,"13,4",0,1,7,2680
Nagyvejke,Kistelepülés,2022,7,0,"4,8","1168909,8",0,"219,1",0,"89,3",0,125,"34013,6",0,,102,"63,3",0,0,0,0,"1,4",56,"204,1","2,2",100,"9,7","40,4",868,0,0,"5,4",1,0,100,"312,9",0,1,95,"12,41","6,8",1,0,0,0,0,1,"5,6",0,"428,6",1,0,-7,0,1,"7,6",2467
Büttös,Kistelepülés,2022,"-34,7","20,5","5,5","1659887,2",0,"509,3","27,07",68,0,"152,9",0,0,,0,"50,5",0,0,0,0,"3,9",57,0,4,100,8,53,874,0,0,"5,5",1,"47,9",100,"232,9",0,1,95,"15,36",0,1,0,0,0,0,1,"28,5",0,"315,1",1,0,"-27,8",0,1,"7,7",2427
Gyöngyfa,Kistelepülés,2022,"21,8","13,7",0,"634512,3",0,"337,1","13,05","86,5",0,"122,6",0,0,,0,"55,3",0,0,0,0,"1,9",35,0,"18,3",100,"5,2","38,3",0,0,"13,6",0,1,0,100,"123,3",0,1,95,0,0,1,0,0,0,0,1,0,0,"184,9",1,0,"21,8",0,100,"5,6",2868
Tikos,Kistelepülés,2022,"34,1","6,8",0,"811811,4",0,"576,1","37,58",100,0,"275,7",0,0,,0,64,0,0,"34,2",80,"0,7",57,0,"16,7",,"18,5",41,0,0,"10,5",0,1,"13,7",100,"116,4",0,1,100,"13,4",0,1,0,0,0,0,1,0,0,"239,7",1,0,0,0,1,"6,4",2803
Abod,Kistelepülés,2022,"-6,9","6,9",11,"1839661,5",0,"411,1",0,"51,6",0,"191,2",0,0,,"103,4","49,5",0,0,"6,9","37,5","2,4",49,0,"6,9",,"3,5","54,6",880,0,0,0,1,"48,3",100,200,0,1,100,"23,08",0,1,0,0,0,0,1,0,0,400,1,0,"-13,8",0,1,"7,9",2341
Nagytilaj,Kistelepülés,2022,"-7,1","6,9","10,3","1094301,8",0,"250,1","10,06","93,2",0,"388,1",0,0,,"103,4","62,9",0,0,0,0,"10,4",26,0,"5,8",80,"6,1","44,3",0,0,"12,5",0,1,0,100,"275,9",0,1,95,"6,5",0,1,0,0,0,0,1,0,0,"386,2",1,0,"-7,1",0,1,"7,7",2432
Pócsa,Kistelepülés,2022,0,"6,9","5,5","1422163,4",0,342,"16,04","95,4",0,"45,4",0,0,,0,"40,8",0,0,"6,9","7,69","2,1",32,0,"4,6",100,0,"47,9",880,0,0,0,1,"27,6",100,"613,8","344,8",1,100,"9,64",0,1,0,0,0,0,1,0,0,"455,2",1,0,"-36,5",0,1,"7,7",2460
Rápolt,Kistelepülés,2022,"22,8","20,7","4,8","735398,2",0,"498,5",0,"69,9",0,183,0,0,,"103,4","52,6",0,0,0,0,"0,3",69,0,"9,8",100,"30,2","40,1",0,0,"16,7",0,1,"27,6",100,"565,5","551,7",1,95,"7,66",0,1,0,0,0,0,1,0,0,331,1,0,"15,2",0,1,"7,2",2627
Vejti,Kistelepülés,2022,"6,9","6,9","4,1","1054956,6",0,"1411,2","10,23","82,5",0,"931,1",0,0,,"103,4",51,0,0,"6,9",0,"5,7",44,0,"3,9","75,7","35,3","57,1",0,"103,4",20,"6,9",1,69,100,"179,3",0,1,95,0,0,1,0,0,0,0,1,"34,5",0,331,1,0,"-34,5",0,1,"8,7",1705
Ebergőc,Kistelepülés,2022,"6,6",0,"13,9",1922629,0,"662,1",0,100,0,"543,7","26086,3",0,,0,"51,6",0,0,"6,9","96,39","1,3",26,0,"0,7",100,"13,5","47,7","886,1",0,0,0,1,0,100,"340,3",0,1,100,"12,64",0,1,0,0,0,0,1,"3,3",0,"569,4",1,0,"-6,6",0,1,"9,3",1316
Kánó,Kistelepülés,2022,"-25,8","27,8","3,5","1755015,6",0,"239,6",0,"62,8",0,"220,2",0,0,,"104,2","58,2",0,0,0,"69,77","5,6",59,0,"3,7",100,13,"48,6",0,"104,2",20,0,1,"55,6",100,"319,4",0,1,100,"23,03",0,1,0,0,0,0,1,"10,3",0,"472,2",1,0,"-38,7",0,1,8,2262
Lápafő,Kistelepülés,2022,"-6,9",0,"2,8","1127905,9",0,"262,1","6,1",100,0,"198,5",0,0,,0,81,0,0,0,0,"1,2",34,"104,9","8,7",100,"8,9","45,1",0,0,"18,2",0,1,0,100,"272,7","209,8",1,95,"10,67",0,1,0,0,0,"69,9",1,0,0,"370,6",1,0,"-6,9",0,1,"7,2",2640
Bihardancsháza,Kistelepülés,2022,-99,0,0,"990491,3",0,"752,6","7,32",93,0,"121,4",0,0,,"105,6","54,4",0,0,0,0,2,51,0,"1,4",100,"10,6","56,6",0,"105,6",0,0,1,"211,3",100,"246,5",0,1,95,"2,08",0,1,0,0,0,"70,4",1,"9,9",0,"401,4",1,0,"-26,4",0,1,"6,9",2724
Vásárosfalu,Kistelepülés,2022,"-47,1",0,"10,6","2068213,5",0,"519,3",0,100,0,267,"35211,3",0,,"105,6","44,9",0,0,7,"94,29","9,9",42,0,0,100,"16,3","60,1",0,0,,0,1,"14,1",100,"366,2",0,1,100,"12,21",0,1,0,0,0,0,1,"18,9",0,"612,7",1,0,"-6,7",0,1,"9,4",1302
Darnó,Kistelepülés,2022,"-38,6",0,"5,7","840808,9",0,"392,9","2,8","69,8",0,"25,7",0,0,,0,"60,2",0,0,0,0,2,83,0,"9,9","91,7",18,"46,8",0,0,0,0,1,"35,5",100,"28,4","283,7",1,95,"7,26",0,1,0,0,0,0,1,"9,3",0,"290,8",1,0,"15,4",0,1,"6,8",2730
Mesterháza,Kistelepülés,2022,"-14,4",0,15,"2061717,9",0,"247,4","15,88",100,0,"11,4",0,0,,"107,1","66,7",0,0,0,0,"4,3",29,0,"2,8",100,"4,7","57,5",0,0,0,0,1,0,100,"407,1",0,1,95,"7,64","7,1",1,0,0,0,0,1,0,0,"621,4",1,0,"-21,7",0,1,"8,2",2128
Rábaszentmiklós,Kistelepülés,2022,0,0,"9,3","1487908,6",0,"317,5",0,97,0,"201,9",0,"15,2",,0,"57,3",0,0,0,"75,76","0,3",33,0,"2,3",100,"7,2","52,4",0,0,0,0,1,0,100,"178,6",0,1,100,"37,24",0,1,0,0,0,0,1,"1,4",0,"442,9",1,0,"-7,2",0,1,"8,3",2045
Apácatorna,Kistelepülés,2022,"-73,3",0,0,"1732266,8",0,"270,6",0,100,0,"421,3",0,0,,"107,9","61,6",0,0,"7,2",0,"3,2",55,0,2,100,"7,3","50,6",0,0,"33,3","2,9",1,"122,3",100,"287,8",0,1,95,"10,72",0,1,0,0,0,0,1,8,0,"467,6",1,0,"-6,7",0,1,"6,5",2777
Hegyhátsál,Kistelepülés,2022,"-87,3","7,2","9,4",1709650,0,"542,9","34,17","98,9",0,"325,3",0,0,,"107,9","59,8",0,0,0,0,"9,5",22,0,"3,3",100,"14,5","51,1",918,0,0,0,1,"43,2",100,"302,2",0,1,95,"8,79",0,1,0,0,0,0,1,"3,4",0,"575,5",1,0,0,0,1,"8,8",1688
Katádfa,Kistelepülés,2022,"-38,3","7,2",0,"1001349,5",0,"801,3","8,74",100,0,"455,7",0,0,,"107,9","43,3",0,0,0,0,5,36,0,"14,6",100,"8,7","46,1",0,"107,9","27,8",0,1,"7,2",100,"86,3",0,1,95,0,0,1,0,0,0,0,1,"31,4",0,"215,8",1,0,23,0,1,"6,8",2731
Zalaszegvár,Kistelepülés,2022,"-30,7",0,0,"1603803,3",0,"350,6","3,67","90,1",0,"89,1",0,0,,"107,9","43,3",0,0,"14,4",0,"0,8",54,0,"3,8","53,3","13,5","58,1",0,0,0,0,1,"43,2",100,"237,4",0,1,95,"4,07",0,1,0,0,0,0,1,0,0,"388,5",1,0,0,0,1,"6,4",2796
Dobri,Kistelepülés,2022,"71,7",0,"8,7","1372946,6",0,"2608,6","23,82","94,1",0,"146,7","647951,1",0,,"217,4","76,9",0,0,0,"65,69","4,3",54,0,"5,8",100,"18,5","49,7",0,0,"12,5",0,1,58,100,442,"144,9",1,100,"7,05",0,1,0,0,0,0,1,0,0,"420,3",1,0,"-31,9",0,1,"10,2",849
Hegyhátszentpéter,Kistelepülés,2022,"-50,9","7,2",8,"1620088,8",0,"269,3","49,6",100,0,"102,2",0,0,,"108,7","58,6",0,0,0,0,"20,1",19,0,"4,1",100,"7,7","60,6",0,0,0,0,1,"36,2",100,"405,8",0,1,95,"9,8",0,1,0,0,0,0,1,"25,5",0,"601,5",1,0,0,0,1,"8,2",2115
Lócs,Kistelepülés,2022,"14,6","7,2",13,"1389651,2",0,"365,1","4,42",100,0,"479,4",0,0,,0,"76,9",0,0,0,0,"8,1",31,"108,7","0,7",100,"7,1","39,5",0,0,0,0,1,0,100,"318,8",0,1,95,"10,66",0,1,0,0,0,0,1,27,0,"507,3",1,0,"-29,2",0,1,"8,3",2094
Ózdfalu,Kistelepülés,2022,"-29,2",0,0,"1075882,2",0,"524,5",0,100,0,"14,9",0,0,,0,"45,3",0,0,"7,2",0,0,34,"108,7","18,6",100,"2,2","51,5",0,0,"9,1",0,1,58,100,"239,1",0,1,95,0,0,1,0,0,0,0,1,"3,7",0,"347,8",1,0,"-21,9",0,1,"6,1",2837
Siklósbodony,Kistelepülés,2022,"14,7",0,0,"1182937,7",0,"839,1","30,04",87,0,"250,1",0,0,,0,"47,3",0,0,0,0,"1,8",29,0,5,100,"2,6",54,0,0,"16,7","10,2",1,0,100,"182,5",0,1,95,0,0,1,0,0,0,0,1,"10,3",0,"248,2",1,0,"7,4",0,1,"6,4",2802
Kisbárkány,Kistelepülés,2022,"31,5","7,4","9,6","2373304,4",0,"822,3",0,"79,2",0,"18,8","591911,5",0,,0,"43,2",0,0,0,"72,28","1,9",85,0,2,25,"39,4","62,3","938,2",0,0,"69,9",1,"7,4",100,"345,6",0,1,100,"1,35",0,1,0,0,0,0,1,"84,3",0,"654,4",1,0,"-15,8",0,1,9,1577
Okorág,Kistelepülés,2022,"-7,4","14,7",0,942035,0,"551,4","24,83","88,1",0,"254,4",0,0,,"110,3","43,2",0,0,0,0,"0,7",44,0,"10,6",100,"9,2",48,0,0,"23,1",0,1,"58,8",100,"220,6",0,1,95,0,"7,4",1,0,0,0,0,1,0,0,"382,4",1,0,"-7,4",0,100,"6,4",2789
Páprád,Kistelepülés,2022,"-62,5","7,4","3,7","1691286,5",0,"477,2","8,67","94,8",0,"255,3",0,0,,"110,3","51,1",0,0,0,0,"2,3",34,"110,3","5,9","78,6",0,"55,4",0,0,0,0,1,"161,8",100,"272,1",0,1,95,0,0,1,0,0,0,0,1,"26,4",0,"455,9",1,0,"-13,9",0,1,"7,7",2412
Somogydöröcske,Kistelepülés,2022,"-38,8",0,"12,5","1754662,8",0,"329,1","7,09",100,0,348,0,"10,8",,"110,3",60,0,0,0,0,"1,4",39,0,"5,2",100,"29,8","46,4","938,2","110,3","14,3",0,1,0,100,"147,1",0,1,95,"11,01",0,1,0,0,0,0,1,0,0,"345,6",1,0,"7,8",0,1,"9,1",1449
Varászló,Kistelepülés,2022,"-59,3","22,1",11,"1107915,9",0,"593,4","12,51","90,3",0,"19,3",0,0,,"110,3","51,1",0,0,"7,4",0,"0,8",56,0,"4,9",100,"8,6","34,4",0,0,"28,6",0,1,0,100,"227,9",0,1,95,"5,98",0,1,0,0,0,0,1,3,0,"580,9",1,0,"-14,8",0,1,"7,9",2337
Tótszentgyörgy,Kistelepülés,2022,"61,3","7,4","3,7","1188057,6",0,"351,5",0,"92,5",0,"2,9",0,0,,"111,1","40,6",0,0,0,0,"2,2",49,"111,1",9,100,"5,9","55,1",0,"111,1","16,7",0,1,0,100,"118,5",0,1,95,"11,07",0,1,0,0,0,0,1,"7,7",0,"355,6",1,0,"-15,3",0,1,"7,7",2417
Garbolc,Kistelepülés,2022,"-99,2","7,5",0,"723363,2",0,"1253,1",0,"52,9",0,"1972,8",0,0,,"111,9","67,5",0,0,0,"42,86","5,6",104,"111,9","8,7",100,"65,8","45,2","952,2",0,"18,2",0,1,"44,8",100,0,"522,4",1,100,"8,06",0,1,0,0,0,0,1,"16,5",0,"238,8",1,0,"24,8",0,1,"7,7",2430
Csarnóta,Kistelepülés,2022,"-52,2",0,"6,8","1468293,3",0,"281,3","11,31",100,0,11,0,0,,0,"38,5",0,0,"7,5",0,"2,5",26,0,"8,1",100,"0,9","53,5","959,4",0,"22,2",0,1,"7,5",100,"172,9",0,1,95,0,0,1,0,0,0,0,1,0,0,"496,2",1,0,0,0,1,"7,3",2600
Nemeskisfalud,Kistelepülés,2022,"-37,6",15,"7,5","590106,6",0,"263,4","5,43",100,0,"10,7",0,0,,0,"95,6",0,0,0,0,"0,5",46,0,"3,3",,20,"28,5",0,0,0,0,1,0,100,"97,7",0,1,95,"15,9",0,1,0,0,0,0,1,0,0,"195,5",1,0,"-56,4",0,1,"6,3",2807
Vékény,Kistelepülés,2022,"40,2",0,0,"1554780,7",0,"271,4",0,"98,4",0,88,0,0,,"112,8","51,1",0,0,0,"83,87","4,3",37,0,"3,9",100,"0,5",53,"959,4",0,0,"3,8",1,"75,2",100,"330,8","150,4",1,100,"7,79",0,1,0,0,0,0,1,"22,5",0,"451,1",1,0,-8,0,1,"6,9",2705
Zsebeháza,Kistelepülés,2022,37,0,"10,5","2181398,9",0,"261,5","16,39",100,0,94,0,0,,0,"68,4",0,0,0,"96,92","6,8",40,"112,8","1,5",100,"5,9","62,5",0,0,100,0,1,0,100,"263,2",0,1,100,"10,79",0,1,0,0,0,0,1,0,0,"511,3",1,0,"-7,4",0,100,"8,8",1671
Kalaznó,Kistelepülés,2022,"-46,2","7,6","10,6","670862,9",0,"1026,4","17,57","81,4",0,"223,1",0,0,,"113,6",76,0,0,0,0,"19,7",72,0,"4,3","57,6","50,9","30,4","966,7",0,"16,7",0,1,"60,6",100,"371,2",0,1,95,"9,02","7,6",1,0,0,0,0,1,0,0,"348,5",1,0,"-7,7",0,1,"8,3",2061
Kálócfa,Kistelepülés,2022,0,0,"6,8","1348467,5",0,"404,5","6,7","94,3",0,"208,5",0,0,,"113,6","57,1",0,0,0,"94,32","2,4",33,0,"4,3","44,7","30,3","44,8",0,0,"16,7",3,1,"60,6",100,"333,3","227,3",1,100,"5,74",0,1,0,0,0,0,1,"8,3",0,"560,6",1,0,"-15,1",0,1,"8,5",1926
Várad,Kistelepülés,2022,"7,6",0,0,1034719,0,"5443,7","5107,64",100,0,"681,5","37560,7",0,,"113,6","46,7",0,0,0,0,"0,9",53,0,"8,6",100,"5,5",50,0,0,20,0,1,"15,2",100,"166,7",0,1,95,0,0,1,0,0,0,0,1,"15,3",0,"318,2",1,0,"15,3",0,1,"10,5",745
Döbörhegy,Kistelepülés,2022,"30,8",0,"10,7","1556951,3",0,819,"11,81",100,0,"203,9",0,0,,"114,5","48,9",0,0,0,0,"4,4",29,0,0,50,"16,6",47,0,0,,0,1,0,100,"213,7",0,1,95,"7,74",0,1,0,0,0,0,1,0,0,"473,3",1,0,"-30,8",0,1,"8,7",1754
Sérsekszőlős,Kistelepülés,2022,"7,7",0,"10,7","1477636,1",0,747,"31,48","98,3",0,"519,8","38164,7",0,,0,"45,6",0,0,0,0,"4,8",48,0,"3,3",100,"16,1","45,5",0,0,0,0,1,"7,6",100,"259,5",0,1,95,"12,61",0,1,0,0,0,0,1,"7,7",0,"633,6",1,0,"-15,3",0,1,"8,6",1832
Alsótelekes,Kistelepülés,2022,"-55,1",0,"10,8","1233644,9",0,"555,7","2,91","79,6",0,192,0,0,,0,"51,2",0,0,0,"74,19","0,4",57,0,"8,9",100,"6,9","43,8","981,5","115,4","9,1",0,1,"61,5",100,"323,1",0,1,100,"23,08",0,1,0,0,0,0,1,0,0,"223,1",1,0,"15,8",0,1,"8,5",1904
Felsőtold,Kistelepülés,2022,"-76,3","7,7","7,7","1613679,1",0,"826,8",0,"96,1",135,"183,4","467786,5",0,,"115,4","52,9",0,0,"7,7",0,"0,5",79,0,"7,2","66,7",2,"54,7","2376,9","115,4","11,1",0,1,"61,5",100,300,0,1,95,"3,68",0,1,0,0,0,0,1,"7,6",0,"546,2",1,0,0,0,1,"10,4",777
Nagycsány,Kistelepülés,2022,"-30,8",0,0,"1311137,8",0,"334,7","3,89",100,0,"3,5",0,0,,0,"44,4",0,0,"7,7",0,"0,8",42,0,"6,1",100,"11,9","57,3",0,0,0,0,1,"46,2",100,"284,6",0,1,95,0,0,1,0,0,0,0,1,0,0,"392,3",1,0,"30,8",0,1,6,2846
Kisszőlős,Kistelepülés,2022,8,0,"3,1","1010403,3",0,229,"0,99",100,0,"13,2",0,0,,0,"44,9",0,0,0,0,1,57,0,"8,6",100,"12,2","43,6",0,0,10,0,1,0,100,124,0,1,95,"31,92",0,1,0,0,0,0,1,0,0,"310,1",1,0,-8,0,1,"6,6",2767
Oroszi,Kistelepülés,2022,"-15,2",0,"5,4","1542520,4",0,"278,9","12,77",100,0,"51,6",0,0,,"116,3","63,3",0,0,0,0,"5,6",48,0,"3,2","76,9","10,7","51,1",0,0,25,0,1,93,100,"178,3",0,1,95,15,0,1,0,0,0,0,1,"3,8",0,"364,3",1,0,"-22,7",0,1,"7,6",2485
Somogycsicsó,Kistelepülés,2022,0,0,"3,1","1360587,3",0,"626,1",0,100,0,"158,7",0,0,,"116,3","40,2",0,0,0,"82,67","0,8",74,0,"7,8",100,"56,7","53,1",0,0,10,0,1,"38,8",100,0,"232,6",1,100,"8,92",0,1,0,0,0,0,1,0,0,"379,8",1,0,0,0,1,"8,2",2105
Balatonhenye,Kistelepülés,2022,"-60,8",0,"18,9","2041218,5",0,"394,5","5,86","98,2",0,"1427,3",0,0,,"118,1",53,0,0,0,"98,21","7,5",49,0,"2,5",100,"25,9","53,8","2787,4",0,0,0,1,"23,6",100,"433,1",0,1,100,"5,74",0,1,0,0,0,0,1,0,0,"362,2",1,0,0,0,1,10,950
Kerkakutas,Kistelepülés,2022,"77,3","7,9","11,8","1620892,2",0,"496,1","11,25",74,0,"664,7",0,0,,0,"54,9",0,0,0,0,"0,7",37,0,"1,7",100,"12,6","55,9","1069,3",0,0,0,1,63,100,252,"157,5",1,95,"4,66",0,1,0,0,0,0,1,"34,3",0,"425,2",1,0,"-17,2",0,1,"8,4",2010
Répceszentgyörgy,Kistelepülés,2022,"62,7","15,7","13,4",2335337,0,"241,3","23,95",100,0,"71,9",0,0,,0,"54,9",0,0,0,0,"11,7",27,0,0,"91,3","2,9","57,3","1004,7",0,,0,1,0,100,"338,6",0,1,95,"10,32",0,1,0,0,0,0,1,"9,4",0,"488,2",1,0,0,0,1,"8,3",2056
Szőke,Kistelepülés,2022,"-8,2",0,0,"1144577,9",0,"255,3","6,52","98,1",0,"43,7",0,0,,0,"44,8",0,0,"15,9",0,"2,9",22,0,"7,3",100,"5,5","44,3",0,0,0,0,1,"7,9",100,"269,8","317,5",1,95,0,0,1,0,0,0,0,1,0,0,"230,2",1,0,"-16,4",0,1,"5,9",2850
Bácsszentgyörgy,Kistelepülés,2022,"40,3",16,8,"945949,4",0,430,"59,06",100,0,"616,2",0,0,,0,"48,8",0,0,8,0,"3,5",90,120,"5,5",100,"21,4","42,3",0,0,"14,3",0,1,0,100,104,0,1,95,"36,59",0,1,0,0,0,0,1,"20,2",0,352,1,0,"-40,3",0,1,"8,3",2072
Döröske,Kistelepülés,2022,"75,3","8,1","8,9","1577761,7",0,"357,4","6,26","82,8",0,"431,8",0,0,,121,61,0,0,0,0,0,29,0,"2,5",100,"6,6","43,3",1029,0,"33,3",0,1,0,100,"112,9",0,1,95,"7,14",0,1,0,0,0,0,1,"4,2",0,"451,6",1,0,0,0,1,8,2229
Velény,Kistelepülés,2022,"-112,1",0,0,891418,0,"337,8","1,98","77,8",0,"173,3",0,0,,0,"36,3",0,0,"8,1",0,"0,9",29,121,13,100,"13,4",41,0,0,"14,3",0,1,0,100,"72,6",0,1,95,0,0,1,0,0,0,0,1,0,0,"274,2",1,0,"-25,9",0,1,"5,9",2849
Fűzvölgy,Kistelepülés,2022,"25,2",0,"10,6","2056577,4",0,"315,7","32,6",100,0,95,"28487,7",0,,0,"59,7",0,0,0,"85,71","0,6",44,0,"0,9",100,0,58,0,122,0,"16,3",1,0,100,"292,7",0,1,100,"5,31",0,1,0,0,0,0,1,"25,2",0,561,1,0,"-16,8",0,1,"8,7",1762
Meződ,Kistelepülés,2022,"48,6",0,"8,9","1806442,5",0,"402,3","14,57","98,5",0,"42,7",0,0,,0,"53,8",0,0,"8,1",0,3,35,0,"4,4",100,"3,8","48,2",0,0,0,0,1,"32,5",100,252,"406,5",1,95,0,0,1,0,0,0,0,1,0,0,"422,8",1,0,"-32,4",0,1,8,2292
Hegyhátmaróc,Kistelepülés,2022,"51,5",0,"4,9",1267196,0,"326,6","12,53",100,0,46,0,0,,123,"54,4",0,0,"8,2",0,"2,2",48,0,"4,6",100,9,"42,7",0,123,"33,3",0,1,"57,4",100,"393,4","245,9",1,95,"11,11",0,1,0,0,0,0,1,0,0,"426,2",1,0,"-51,5",0,1,8,2283
Szilvás,Kistelepülés,2022,"-17,1",0,"5,7","1275629,8",0,"242,8","41,26","94,7",0,"123,5",0,0,,0,"41,9",0,0,0,0,3,20,0,"3,5","85,7","8,6","51,8",0,0,50,0,1,0,100,"278,7","163,9",1,95,"20,56",0,1,0,0,0,0,1,0,0,"532,8",1,0,0,0,1,"7,4",2552
Udvar,Kistelepülés,2022,"-26,3",0,9,"1764014,9",0,"6814,2","91,97","89,4",0,"5378,2",0,0,,123,"64,9",0,0,"8,2","86,36",1,42,123,"3,3","94,4","11,2","57,1",0,0,0,0,1,"57,4",100,"836,1",0,1,100,0,0,1,0,0,0,82,1,"39,5",0,"631,2",1,0,"-26,3",0,1,"12,4",281
Apátvarasd,Kistelepülés,2022,"65,7",0,0,"1466613,5",0,"268,3","9,97",100,0,"94,4",0,0,,0,"55,1",0,0,"8,3",0,"3,7",29,0,"4,7",100,"6,8","49,6",0,0,20,0,1,0,100,"272,7",0,1,95,"8,31",0,1,0,0,0,0,1,"37,6",0,"314,1",1,0,"-9,4",0,1,"6,2",2825
Kányavár,Kistelepülés,2022,"-8,6","24,8",0,"1076866,8",0,"452,4","4,01","91,4",0,"178,1",0,0,,124,"68,1",0,0,0,"69,14","1,8",48,0,"3,6",,"8,6","41,2",0,124,0,0,1,0,100,"355,4","330,6",1,100,"3,95",0,1,0,0,0,0,1,19,0,"429,8",1,0,"-25,9",0,1,"6,6",2770
Bükkmogyorósd,Kistelepülés,2022,"8,3","33,6","12,6","1333450,7",0,"275,4",0,"58,5",0,"34,4",0,0,,0,63,0,0,0,"56,6","0,3",58,0,"3,4",,"30,4","48,4","1072,3","126,1",0,0,1,0,100,"336,1",0,1,100,"23,06",0,1,0,0,0,0,1,0,0,"361,3",1,0,"-16,6",0,1,"7,6",2495
Kerkafalva,Kistelepülés,2022,"44,1","8,4",0,1343452,0,"403,4","15,37","83,1",0,"177,6",0,0,,0,"60,8",0,0,0,0,"5,5",41,0,"1,7",,"15,9","54,7","1039,5",0,0,0,1,"67,2",100,"453,8",0,1,95,"4,58",0,1,0,0,0,0,1,0,0,"630,3",1,0,"-17,6",0,1,6,2843
Nagymizdó,Kistelepülés,2022,"8,9",0,"10,1","1904817,9",0,538,"4,95",100,0,"804,6",0,0,,0,"77,6",0,0,0,0,"1,6",27,0,0,100,"1,2","52,8","1072,3",0,,0,1,"16,8",100,"92,4",0,1,95,"7,77",0,1,0,0,0,0,1,"10,6",0,"546,2",1,0,"-17,7",0,1,"8,3",2097
Felsőegerszeg,Kistelepülés,2022,"33,3","8,5","5,9","1414414,5",0,351,"9,62","92,5",0,"141,6",0,0,,0,"59,5",0,0,"8,5","40,3","5,5",38,0,"6,4",100,"16,9","46,9",0,0,0,0,1,"8,5",100,322,"762,7",1,100,0,0,1,0,0,0,0,1,"33,3",0,"372,9",1,0,-25,0,1,8,2248
