Település,Településtípus,Év,Belföldi oda- és elvándorlás különbsége ezer lakosra,Bűncselekmények száma ezer főre,Diplomások aránya (interpolált),Egy lakosra jutó SZJA adóalapot képező belföldi jövedelem (Ft),Gimnáziumi tanulók a nappali oktatásban ezer főre,Helyi önkormányzatok összes költségvetési bevétele (1000 Ft) egy főre,Iparűzési adó egy főre (1000 ft),Közüzemi ivóvízvezeték-hálózatba bekapcsolt lakások aránya (százalék),Lakások átlagos négyzetméterára,Alapszolgáltatásokon felüli kiadások egy főre (1000 Ft),Állami támogatások egy főre (pályázatok),"Az év folyamán épített lakás, 1000 lakásra (db)",Egy házi- és házi gyermekorvosra jutó lakos (fő),Élelmiszer és élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),Eltartottsági ráta,Gyógyszertárak tízezer főre,"Játszóterek, tornapályák, pihenőhelyek ezer főre",Kulturális rendezvényeken részt vevők száma egy főre,Nem élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),"Nyilvántartott álláskereső, 100 15-64 évesre (fő)",Önkormányzati járdák kiépítettsége (százalék),Önkormányzati utak kiépítettsége (százalék),"SZJA adófizető, 100 lakosra (fő)",Vendégéjszakák száma a kereskedelmi szálláshelyeken száz főre (db),Vendéglátóhelyek száma tízezer főre (db),25 év alatti nyilvántartott álláskeresők aránya (százalék),Házi segítségnyújtásban részesülők ezer főre,Internet-előfizetések száma ezer főre,Jelzőrendszeres házi segítségnyújtásban részesülők tízezer főre,Lakosságtól szelektíven elszállított települési hulladék aránya (százalék),Önkormányzat által kiutalt lakások ezer főre (db),"Személygépkocsi, 1000 lakosra (db)",Indexpontszám,Rangsor
Hantos,Kistelepülés,2014,"-27,5","-5,9","1,8","1368657,1",0,"36,1","-6,52","-4,1",0,"-15,4","-8695,3748",0,0,2,"2,5","1,4",0,"-1,9","-13,4","-1,6","3,3","2,1","1,9","130,4","-13,4","-3,6",0,115,0,"19,79",0,"142,6","0,8",349
Cikó,Kistelepülés,2014,"3,7","-9,2","0,7","950048,5",0,"272,5","4,98",0,0,"108,7",0,0,0,"-28,5","3,7",0,0,"2,1","0,4","-2,6",0,"0,5","3,9","-20,9","0,4","-12,1","3,6","77,8","-11,6","7,63",0,"69,8","1,3",-17
Magy,Kistelepülés,2014,"51,4","-9,9","1,5","942551,1",0,"40,8",0,"2,5",89,"160,4","4179,7",0,0,"1,7","5,6","0,4","-1,1",-1,"0,6","-9,8",0,"-0,1","7,5",0,"0,6","-11,9","0,9","84,8","12,5","7,38",0,"215,4","2,8",-1227
Mosdós,Kistelepülés,2014,"25,4","-25,4","-1,5","1074907,9",0,"315,6","-0,38","4,3",0,"259,2","173804,9",0,-80,"1,5","16,5","11,8","0,1","-0,6","-32,3","-3,7",0,"-8,7","5,5","117,5","-16,2","-19,2","-10,8","113,1","-205,4","11,91",0,"148,8","1,3",-133
Újrónafő,Kistelepülés,2014,"-12,6","-13,6","0,6","811915,7",0,"91,5","-32,87","4,4",340,"55,2","39401,8","6,3",0,"-18,2","3,1",0,0,"0,9","-0,5","-0,4",0,"0,2","-2,8",0,0,40,"-4,8","90,7","-133,3","3,03",0,"163,2","2,6",-765
Uszód,Kistelepülés,2014,"19,6","-11,6","2,1","833933,6",0,"-851,1","2,48","-1,3",86,"-846,9","-1742874,1",0,-150,"5,4","10,5","1,8",0,"-4,5","-12,9",-2,0,"-0,1","0,2","150,8","-14,7","-9,7","-1,6","101,1",0,"19,1",0,"120,7","1,5",69
Tiszaszalka,Kistelepülés,2014,"-22,8","-7,1","2,4","949499,8",0,"-68,9","0,35","4,8",0,189,"38867,6471","2,9",-846,"29,9","7,1","0,1",0,0,"-17,7","-0,6","4,4","-0,2","0,8",0,18,"-3,2","-63,1","194,8",0,"9,75",0,"126,5",1,172
Fülöpháza,Kistelepülés,2014,"2,5","-19,1","3,8",1132885,0,"18,3","-3,56","5,2",0,"28,5","-298852,68",0,1,"-17,9","7,5",0,0,"-1,1",0,"-5,1","0,3","4,8","12,5","152,3",0,"-12,5","-13,1","21,3","-71,8","11,39",0,"146,3","0,8",95
Nyírparasznya,Kistelepülés,2014,"-5,5","-47,8","1,8","812891,8",0,"246,2","-10,86","7,2",0,"686,4","-19580,124",0,0,"-33,5","2,3","1,6",0,0,"2,5","-2,8",0,0,"3,7","152,3","2,5","-12,5","-32,6","139,5",0,"9,45",0,"116,4","1,4",-135
Dunafalva,Kistelepülés,2014,"17,2","2,8","2,5","861614,7",0,"255,6","-0,07","2,1",172,"63,5","121294,1",0,-886,"2,7","-0,7",0,0,"-65,1","-7,3","-4,1",0,"-27,9","4,1","1101,8","30,9","9,5","-6,2","60,5","-56,4","19,32",0,"108,5","3,1",-980
Balatonmáriafürdő,Kistelepülés,2014,"23,1",-131,"4,2","979251,3",0,"76,5","6,47","-11,5","511,7",26,"-561666,71","13,6",0,"-107,1","17,8",0,"-1,4","3,1","-179,9","-1,3",0,"5,2","0,5","2480,2","-285,4","-4,8","4,6","157,7",-3,"12,1",0,"78,1","2,7",6
Nyírjákó,Kistelepülés,2014,"32,2","1,3","1,1",943881,0,"34,9",0,"1,1",0,"55,4","-11313,456","-2,8",-863,"0,6",16,"0,4",0,"-2,5","18,5","2,2","-0,2","0,2","4,4",0,"0,6","-0,7","-49,2","109,7","-67,1",7,0,155,"0,5",537
Ötvöskónyi,Kistelepülés,2014,"15,2","-25,7","1,1","574220,3",0,"345,9","12,02","-1,7",0,"145,8","185782,1",0,0,"1,5","17,5",0,0,"0,9","1,5","-4,3","-12,3","2,1","1,9","133,1","-19,1",-7,"2,1","34,2","-20,1","3,81",0,"99,8",2,-614
Gemzse,Kistelepülés,2014,"-32,4","-3,8",1,"590000,7",0,69,0,"11,2",0,"74,7",0,0,0,"-15,2","0,6",0,0,"-0,3","-16,6","-3,7",0,"0,1","6,8",0,"-16,6","-5,6","-11,6","76,8",0,"9,93",0,"82,3","0,3",433
Nagybarca,Kistelepülés,2014,"-32,3","-4,3","1,2","1231830,3",0,"34,5","-0,91","2,5",0,"-13,1","-69627,158",0,0,"-4,5","2,8",0,"0,1","0,5",0,"-3,5","0,1",0,"3,6","153,2",-25,"-8,9","1,6","92,1",-31,"23,08",0,"163,4","1,2",-85
Gacsály,Kistelepülés,2014,"22,6","-12,2","0,2",524587,0,"-17,4",0,"-5,9",0,"-7,7","-14505,42",0,0,"-15,5","6,1","0,8",0,"-1,7","1,3",-3,0,0,7,"-0,6","19,3","-11,9","-4,7","89,5","-51,9","10,06",0,"97,3","0,6",431
Horvátzsidány,Kistelepülés,2014,"49,1","-1,4","2,5","885331,6",0,"182,3","2,19","4,5",247,"233,6","1220,3",-3,831,"-19,5","11,1",0,"-0,1","-0,1","-0,7","-0,5",11,"3,6",-6,"232,9","-14,1",-25,"8,4","85,3",0,"19,6",0,"105,3",3,-548
Uraiújfalu,Kistelepülés,2014,"23,8",-6,"1,3","1214081,6",0,96,"10,51","1,4",0,53,"-81527,571","2,6",0,"-24,1","12,3",0,0,"-0,6",-18,-1,"-31,4","-0,1","-2,9",0,-30,"8,9","-4,8","547,5",0,"11,01",0,"83,1","0,8",343
Pirtó,Kistelepülés,2014,"-29,9","-5,2","2,2",1026148,0,"-5,7","13,3","1,6",0,"-8,3","-953965,67",0,-88,"5,8","15,9",0,0,"-1,6","-5,1","-1,7","58,1","-2,2","2,2","153,9","40,8","-15,4","0,3","69,8",0,"24,9",0,"202,3","0,9",233
Füle,Kistelepülés,2014,"14,1","-10,7",4,"1500381,2",0,"68,2","3,91",0,0,"52,5","6038,6",-5,0,"-41,8","0,9","0,1",0,"3,6","-17,8","-1,9",0,0,"6,8","154,1","18,2","-30,8",0,"152,7",0,"13,13",0,"111,7",1,246
Felsődobsza,Kistelepülés,2014,"-36,8","-32,5","0,6","619960,4",0,"130,1","13,51","-2,9",0,"102,3","-143329,45",0,0,"6,1","4,1",0,0,"-1,5","-15,9","3,2",0,"-0,1",1,0,"2,3","-2,3","-10,4","96,1","-201,5","16,67",0,"118,9","0,6",338
Nagyvisnyó,Kistelepülés,2014,"-3,6",0,"1,7","935865,4",0,"399,9","5,88","6,1","-9,5","351,3","242740,924",0,-76,"-19,1","14,5",0,"-1,1",1,"-37,3",-2,"0,1","0,1","3,4","1082,4","7,1","-8,5","50,3","135,9",0,"11,75",0,"133,5","1,9",-85
Szerecseny,Kistelepülés,2014,50,"-6,6","1,1","1451153,3",0,"34,5","3,68",3,0,"34,8","9454,4",0,58,"-3,7","0,9",0,0,0,"-2,7","-4,8",0,"-0,1","7,4",0,"-20,9","-5,8","-37,7","75,4",0,"0,8",0,"121,6","0,9",263
Szigliget,Kistelepülés,2014,"-42,4","-23,7","5,8","1203400,1",0,"1253,1","24,39","0,2","-396,1","620,8","-379490,31","-12,6",17,"-14,4","11,3","12,1",0,"-16,7","34,1","-2,9",0,"1,5","0,6","1368,5","115,3","-5,9","-3,9",353,0,"3,36",0,"130,5","-0,5",93
Szin,Kistelepülés,2014,"-35,5","-4,7","-0,2","425021,9",0,51,0,"4,2",0,"26,7","-125098,1",0,-831,"0,1","3,5","0,1",0,"0,1","18,2","0,1","1,9",0,"7,1",0,"18,3","-19,2","-10,8","50,2",0,"23,01",0,"49,3","0,9",84
Zsira,Kistelepülés,2014,"25,8",-5,"1,8","901838,3",0,"198,2","22,09","0,8",1176,"100,5",0,"27,8",18,"-0,4","8,6",0,0,"-2,1","-0,4","-0,7","1,3","0,7","-0,8","175,6","-1,1","-33,3","-1,2","185,8",0,"9,56",0,"142,6","5,6",-1182
Sopronhorpács,Kistelepülés,2014,"18,3",0,"1,9","1267649,7",0,"147,4","63,96","6,7",0,"34,8",0,"6,4",0,0,0,"-12,2",0,"-0,5",0,"-0,6","5,9","1,6","3,3",0,0,"-33,3","-8,5","29,3",0,"11,72",0,212,"1,6",81
Vereb,Kistelepülés,2014,"26,8","-9,4","1,8","1355915,8",0,"55,6","3,7","-1,9","-46,5","79,5",2576,"3,1",0,"-1,6","7,4",0,"-0,1","-6,3","16,6","-2,7",0,"-0,1","5,9","155,4",0,"-13,8","-7,3",118,"-27,5","16,33",0,"77,3","0,4",632
Nemesdéd,Kistelepülés,2014,"6,5","-109,2","-0,2","316042,7",0,"51,6","-0,25","2,5",0,"17,3",0,0,0,"-4,3","4,2","-13,6",0,"-0,3","-2,2","-5,7",0,"2,9","0,5","155,8","-2,2","-4,4","-2,6",36,0,"7,93",0,103,"0,4",168
Gáborján,Kistelepülés,2014,"24,8","-32,1",0,"542869,7",0,181,"3,37","-3,2",0,"165,7",0,0,0,"0,9","-6,7",0,0,"1,4","-29,3","-1,7","0,4","0,1","5,1",0,"0,5","-0,3","-42,8","115,8",0,"3,31",0,"104,3","0,7",118
Lipót,Kistelepülés,2014,"-17,4","-7,8","1,3",1122885,0,"33,7","4,6",0,0,"1,5","-311601,89","11,5",0,"52,3","9,9",0,"-0,2","-0,2","-37,7","0,6",0,3,"-1,7","6414,2","42,4",50,"1,2","124,5","-102,8","4,88",0,106,"1,7",23
Bodrogolaszi,Kistelepülés,2014,"25,5","-8,5","2,4","1285995,4",0,"46,9","1,01","1,1","-31,8","270,1","-4683,252",0,-93,"3,8","-0,4",-11,"0,1","1,8","-16,5","-2,1",0,"0,1","5,2","145,1","-14,6","-9,4","-27,2","122,1",0,"18,49",0,"167,9","-0,1",724
Gyulaj,Kistelepülés,2014,"-18,1","-12,3","0,1",580836,0,"-188,3","6,21","1,5",0,"-69,4","-457387,07",0,0,"-0,8","5,8","12,3","0,2","0,1","3,4","-3,2",0,"-1,1","11,1",42,"-11,5",-12,"-11,8","73,7","-39,9","7,73",0,"92,9","0,6",242
Kapospula,Kistelepülés,2014,"15,8","-24,5","1,5","1050127,5",0,"-10,9","2,03","1,4",-78,"-8,4","3237,9",0,-35,"0,8","10,5","-11,8","0,1","-0,2","15,3","-3,2","-2,7","1,6","3,3",0,"-35,3",-15,"2,5","99,3","-94,1","12,41",0,"98,3","-1,1",1381
Körösszegapáti,Kistelepülés,2014,"-5,4","-5,3","3,4","658350,2",0,"475,1","4,38","-0,5",0,"178,5","18527,124",0,815,-14,"10,1","2,1","0,2","-2,9",-14,1,"32,1","1,8",-2,0,"-50,8","-8,6","-45,4",152,0,"2,75",0,"134,7","0,7",392
Királyegyháza,Kistelepülés,2014,"43,9","3,1","0,8","824580,9",0,"268,7","265,3","0,7","-50,8","36,8","-120516,43","-3,1",814,"-25,4","11,7","1,3",0,"3,6","20,5","-0,7",0,"0,2","-0,1","-19,8",2,"-22,5","1,8","113,9","-17,9",0,0,"135,7","0,3",465
Kemenesmagasi,Kistelepülés,2014,"-16,2","-6,3","1,7","1200166,2",0,"80,8","1,84","4,1",0,"111,3","6172,8","-2,3",11,"-13,4","6,5",0,0,"4,2",-19,-2,0,0,"2,7","157,5","-31,6","-16,9","-22,3","315,4",0,"3,93",0,"132,8","0,9",221
Szabadhídvég,Kistelepülés,2014,"-22,1","-5,1","0,7","1161750,4",0,99,"102,35","3,3",0,"106,5","3144,9",0,0,"1,7","2,3",0,0,-1,"19,4",0,0,"0,1","6,6","157,7","0,8","0,8","1,7","107,5","-81,4","17,06",0,130,"1,6",-366
Pakod,Kistelepülés,2014,"22,1","-24,4","1,8","753506,5",0,"-21,2","4,5","-7,2",0,-97,"-116441,2",0,0,1,"9,5",0,0,"-2,2","-17,6","-1,5","-27,4","-2,1","-1,3","136,7",1,"10,3","-1,1","64,3","-11,7","4,71",0,"120,3",0,858
Mórichida,Kistelepülés,2014,"-12,6","-12,6","1,5","1322255,4",0,"-92,5","6,91","4,2",0,51,"-9551,7346","5,7",10,-19,"10,6",0,0,"-0,9","-0,4",0,0,"11,7","3,1",0,"-0,2","-28,6","9,8","135,8",0,"7,63",0,"175,8","0,9",308
Vatta,Kistelepülés,2014,"20,8","-7,6","1,3","1223639,8",0,"521,5","24,04","2,1",220,"578,1","-10132,836","-2,7",-105,"-14,3","-0,2",-11,0,0,"20,7","-4,6",0,"-0,3","7,5",0,"2,1","2,4","8,6","154,2","-87,8","31,28",0,"156,3",3,-394
Bélmegyer,Kistelepülés,2014,"2,7","-8,1","1,3","902592,5",0,"405,6","-0,23","4,8","-31,1","166,4","108233,645",0,-968,-4,"0,1","2,1","1,6","-2,3","-33,1","-1,6","0,1",0,"5,6","158,5","-12,4","9,9","-11,7","90,6","37,3","27,45",0,"127,4","0,9",301
Tés,Kistelepülés,2014,"26,3","-9,1","1,9","1260890,4",0,"224,5","1,96",0,269,"82,6","111801,2",0,-766,"-33,6","19,5",0,0,"0,7",-1,"-2,5",0,0,"3,9","134,9","10,5","-3,1","-0,9","362,1",0,"15,55",0,"160,2",3,-421
Nemesszalók,Kistelepülés,2014,"4,8",-9,"1,5",1269465,0,"140,5","3,41",0,0,"17,2","4966,9",0,-79,-38,"10,3","1,2","1,2","0,4","3,4","-2,5",0,"-0,1","3,8",0,"3,4","-12,9","15,8",127,0,"9,2",0,"176,1",1,238
Laskod,Kistelepülés,2014,"-28,7","-4,1","1,2","1111632,7",0,"-106,2","1,93","4,5",0,"-67,7","-91571,457","-2,5",-952,"-2,6",-6,2,"0,8","-0,8","5,9","-3,7","61,6","-4,2","5,5",0,"2,9","7,2","-18,2","89,3","-23,6","8,37",0,"170,4","0,5",550
Csécse,Kistelepülés,2014,"-38,6","-5,6","1,1","1045328,7",0,"213,5","9,63","7,2","40,8","22,2","306302,5",0,-97,"-5,8",7,0,"-1,1","-0,8","-14,7","-1,4","7,1","-0,7","5,9",0,"16,5","-13,9","-4,8","125,6",0,"6,86",0,"168,9","1,8",-479
Barabás,Kistelepülés,2014,"-16,2","-3,7","6,2","546597,3",0,"6,6","12,34","1,6",0,"269,3","3126,3",0,-890,"5,2",17,"1,3",0,"0,4","16,4","-3,9","65,8","-8,7","4,8","139,4","1,9","-5,5","-27,8","150,8","-4,8","9,93",0,"97,3","1,5",-243
Rakaca,Kistelepülés,2014,"-85,2","-0,8","0,4","320386,5",0,"-17,9","3,51","5,5",0,"93,7","-4205,4481",0,-826,"19,4","3,1","0,4",0,"-2,3","18,8","7,2",0,0,"-4,9",0,0,"-11,8",0,"41,1",0,"23,05",0,"9,6","0,8",-6
Takácsi,Kistelepülés,2014,"40,6",-8,"2,9","1402443,1",0,"13,5","29,63",0,0,"76,5","6265,7",0,0,"-20,7","6,2",0,0,"-5,1","1,3","-0,3",0,"-0,1","2,2","159,9","-27,9","15,5","-14,8","51,9",0,"-2,64",0,"169,5",1,167
Darány,Kistelepülés,2014,"-14,7","-2,2","1,3","582434,4",0,"265,5","18,25","-0,9",0,"57,4","67238,7765",0,-905,"-17,6","5,7","1,5",0,"1,3",21,"0,4","0,5",0,"3,6","140,1","-47,5","6,4",0,"133,4",6,"9,4",0,"106,2",1,209
Perkupa,Kistelepülés,2014,"13,4",-7,"0,2","626216,8",0,"104,4","3,6","4,8",0,"37,7","222010,189","-2,7",-22,"1,6","6,9",0,0,0,"-17,8","-4,1",0,"1,5","1,4",138,1,"-5,7","-29,8",73,0,"23,04",0,"64,2","0,8",289
Domaháza,Kistelepülés,2014,"12,9","-35,6","0,7","589765,6",0,"92,7","2,23","-0,4",0,"-200,3","4262900,4",0,-37,"1,7","8,6",0,0,"-0,2","0,8","-8,2",0,"-0,1","2,5","160,3","-17,2","-3,8","-7,2","105,6",0,"23,06",0,"69,2","1,3",-151
Hollóháza,Kistelepülés,2014,"-18,1","5,1","1,7","604649,7",0,411,"-7,4","2,3","57,2","214,1","116155,634","-9,3",0,"0,9","22,1","-11,9","0,2","0,3","27,7","-3,7",0,"11,2","-9,5","138,7","0,9","-8,1","-4,1","94,9",0,"13,87",0,"56,3","1,1",235
Ordacsehi,Kistelepülés,2014,"23,9","1,2","1,8",772922,0,"72,6","-7,53","-9,9",0,7,"-1133474,7","2,4",-774,"-0,5","16,2",0,0,"-1,9","-0,5","-4,3","0,5",0,"-3,7","211,9","-19,9","-13,6","2,3","163,6",-41,"8,96",0,"134,2","0,7",378
Bernecebaráti,Kistelepülés,2014,"-15,4","-12,4","3,4",1270793,0,121,"2,08","3,3",103,"138,7",6321,0,0,"-14,7","3,9","1,4",0,"0,4","4,2","-2,9",0,0,"9,8",150,-7,"-20,1","10,5","186,6",0,"3,18",0,160,"2,7",-853
Vajta,Kistelepülés,2014,"37,3",-10,"0,5","1055720,6",0,"635,8","9,68","2,3",0,"103,6",0,0,0,"-12,3","19,6","-10,4","2,5","-0,8","-22,7","-5,5",0,"5,7",7,"2964,9","21,5","0,6","3,5","103,7",3,"8,04",0,"132,8","1,1",115
Vokány,Kistelepülés,2014,"16,8","-31,4","1,5",790518,0,"121,9","4,74","2,8",0,"-1,8","4980,3",0,-65,"1,5","5,3",0,0,"-3,7","1,5","1,2",0,0,"4,5","-21,1",-16,"-10,9","6,5","139,1","7,6","11,07",0,"103,5",1,24
Bakonyszentkirály,Kistelepülés,2014,"-3,5","-5,9","0,6","1383562,1",0,"104,1","-1,13","-0,2",0,"29,8","6329,1",0,-40,"14,5","15,7","0,7","0,1","0,2","0,9","-0,2",-2,"-3,6","3,8","206,7","-18,1","-24,4",22,"96,8",0,"-3,39",0,"152,8","0,7",377
Zalaszentbalázs,Kistelepülés,2014,"-4,7",-5,"2,1","836513,4",0,"143,1","6,76","-0,3",166,"73,5","9584,1",0,-4,"0,1","8,7","0,1",0,"0,1","0,1","-3,1",0,4,"-1,5","138,7","12,8","-9,1","-1,2","60,5",0,"9,21",0,"138,3","3,6",-1005
Berkesz,Kistelepülés,2014,"32,2","8,3","1,7","788955,5",0,"4,9","0,17","-4,8",0,"-61,8","-119158,24",0,0,"-10,2",10,"0,7",0,"-0,7","-17,1","-4,3","0,1","1,1",4,0,"0,9","-18,4","-57,3","385,7","-31,1","8,34",0,121,"0,4",614
Pusztakovácsi,Kistelepülés,2014,"-15,5","-23,4","0,2","528023,8",0,"239,6","1,34",0,0,"112,4","87165,8162",0,-826,"-17,2","5,6",0,"0,1","-1,8","0,9","-7,9",0,0,"3,9","162,1","0,9","5,7","4,1","114,9",0,"12,23",0,"171,7",1,-14
Baktakék,Kistelepülés,2014,"-0,2","-24,3","-0,4","471312,8",0,"-99,2","2,92","-3,3",110,"-107,7","-431945,94","3,8",50,"17,8","16,8","-0,9",0,-1,"-1,3","9,8",0,0,-1,0,"-20,4",-4,-6,52,0,"16,78",0,"24,5","1,4",34
Csajág,Kistelepülés,2014,"10,1","-0,9","2,1","1326073,7",0,208,"-8,93",-3,"-75,4","15,9","4633,8","-2,9",0,"20,1","5,2",0,"0,2","-6,5","19,1",0,"-1,2","5,1","7,1","162,3",1,0,"-6,8","106,7",0,"19,74",0,"176,9","0,1",730
Kenyeri,Kistelepülés,2014,-6,"-3,3","3,6","1122940,8",0,"380,5","-0,58",2,0,"3,2","5815,9",0,-75,"1,7","8,2","1,1",0,"1,1","-15,7","-0,8","0,2",0,"1,2",-21,"-15,7","7,2","2,5",9,0,"5,29",0,"157,2","1,2",27
Borsodbóta,Kistelepülés,2014,"-3,1","-2,6","0,8","680898,8",0,"463,4","-0,08","4,4",0,"-20,1","-63096,804",0,785,"32,5","-1,4",0,0,"0,8","19,1","-2,5","-0,2",0,"9,9",0,"-16,4","-0,1",0,"118,1",0,"23,04",0,"122,9","1,1",25
Győrsövényház,Kistelepülés,2014,"-23,4",-4,"1,5",1264062,0,168,"17,3","8,7",0,"113,2",0,"0,1",28,"-1,4","7,4","-13,2","-0,2","-0,4","-41,6","-0,6",0,"1,2","2,4",0,"-14,6","-9,1","-6,6","72,4",0,"6,01",0,"109,6","0,8",376
Sorokpolány,Kistelepülés,2014,"17,3","-2,2","2,1","1321619,3",0,"130,2","6,41","-0,7",0,"39,5",0,"-3,6",-829,1,"11,6",0,0,3,1,"-0,8","-5,6","-1,7","4,6",0,"-18,1","11,1",0,"151,2",0,"1,57",0,"179,1","0,9",247
Berkesd,Kistelepülés,2014,"24,6","-11,4","1,5","988482,4",0,"292,7","5,75","1,7",0,"143,7","-15880,783",0,-75,"20,8","9,1",0,-1,2,"1,7","-3,2","-3,8","4,1",7,163,"1,7","-14,3","-11,4","284,3","-54,9","7,47",0,"106,2","1,3",-186
Csesztreg,Kistelepülés,2014,"7,5","-11,7","1,2","854544,6",0,"295,8","38,57","-1,1",0,"-72,2",0,"-5,6",-59,"15,5","12,5","0,9","0,1",-3,"2,7","-0,4",0,0,"0,5","145,4","-9,2","-4,1","-9,3","189,1","-20,2","-2,56",0,"111,4","0,6",322
Csörötnek,Kistelepülés,2014,"-12,8","0,7","3,1","897467,2",0,"214,1","2,52","-0,9",0,"119,6","-240596,55",0,-877,"-26,4","1,9","1,4",0,"-3,5",0,"-0,7",0,"0,2","7,7","142,6","2,1","-11,4","-0,1","95,6","4,2","7,33",0,"204,3","1,1",161
Palotabozsok,Kistelepülés,2014,-5,"2,9","2,5","816998,8",0,"116,9","-6,83","1,3",0,"75,1","-62024,102","-2,5",-77,"-15,7","8,5","1,2","0,1","-4,6","1,7","-1,4",0,"-0,1","-1,7","142,1","4,6","-4,6",29,"131,1","-53,8","18,58",0,"114,1","0,7",435
Bodrogkisfalud,Kistelepülés,2014,"-29,3","-3,5","1,6","1051066,2",0,"83,7","33,55","-0,6",0,"15,6","-26808,457",0,-831,"27,9","15,8",0,0,"0,7",-41,"-2,9",0,"-0,1","4,6","185,6","4,6","-4,3","-53,5","112,1",-9,"26,93",0,"154,1","1,1",174
Szentlászló,Kistelepülés,2014,"18,3",-9,"1,7","917042,1",0,"229,5","4,13","2,1",0,"63,6","16337,9",0,2,-13,"11,3","-0,1",0,"-6,3","-19,3","0,3",0,0,"3,2",0,"-0,2","2,4","-7,8","84,2",0,"3,97",0,"127,6","0,7",403
Tornanádaska,Kistelepülés,2014,"28,8",-25,0,"68004,1",0,"83,2","0,48",1,0,34,0,0,0,"-0,3","-9,8",0,0,"1,3","-0,3","0,7",0,"-0,1","3,4",0,0,"0,8",0,"4,9",0,"23,02",0,"9,8","0,5",6
Újcsanálos,Kistelepülés,2014,"-30,3","-10,3","2,1","897659,7",0,196,"3,21","4,9",56,"87,2",231387,0,-864,"1,9","3,5",0,0,"4,3","19,3","-1,3","0,5","-0,1","2,2",0,"1,9","-8,7","-11,8","69,2","-24,3","23,07",0,"121,3","2,6",-1035
Magyargéc,Kistelepülés,2014,"-14,7","-0,2",1,"613852,5",0,"620,2","-1,26","4,4",77,-16,"521907,2",0,0,"6,6","-5,7",0,0,"1,8","2,4","3,9",-1,"0,1","6,2",0,"2,4","-7,5","-2,2","71,2",0,"1,07",0,"152,7","2,4",-948
Sormás,Kistelepülés,2014,"-32,9",-9,"1,9","1024050,3",0,"34,5","15,76",0,"-40,4","54,4","-418078,99",0,0,"1,5","16,3",0,"1,4","2,2","-17,8","-0,9",0,"7,6","0,6",-81,"20,9","-8,2","-6,4","-63,4","-22,6","10,24",0,"167,1",0,882
Hegyfalu,Kistelepülés,2014,"29,1",-9,"3,2","1205365,7",0,"109,3","-13,04","6,8",0,"151,8","-54292,283",0,-2,"0,1","-2,8",0,0,"-0,4","19,4","0,1",0,"0,1","1,9",0,"0,1",-20,0,"76,6",0,"11,81",0,"101,3",2,-397
Baksa,Kistelepülés,2014,"35,3","-13,4","2,7","1218491,1",0,"325,3","10,24","1,8",0,"97,5","45506,7557","3,6",26,"-1,3","6,2",0,0,"-1,1","-0,7","-4,1","-10,6","4,1","4,3",0,"-0,7",0,"-5,7","79,1","-45,1",0,0,"138,2","1,5",-215
Söpte,Kistelepülés,2014,"24,4",0,"2,9","1243523,3",0,"163,8","4,09",0,0,"97,7","1462,8","-10,9",0,"-1,1","18,7",0,"1,2","2,7","-43,2","-0,5",0,"0,2","-6,6","165,1","18,3","-28,6","-0,1","117,3",0,"-0,2",0,"95,8","0,8",317
Bábonymegyer,Kistelepülés,2014,"18,4","-18,6","1,8","795568,4",0,"198,5","23,99",0,0,"316,4","-187014,72",0,0,"-30,9","3,7",0,0,"-0,1","27,1",-1,0,0,"3,7","-22,8","1,1",-11,"-6,2","84,3",0,"8,32",0,"195,5","1,2",-97
Újtikos,Kistelepülés,2014,"-0,8","-6,6","2,3","1221224,2",0,"318,7","3,71","-1,3",0,"-63,3","417527,024",0,-98,"-26,5","1,4","1,5","2,9","1,1","2,2","-3,7",0,"-20,3","8,6",0,"19,5","-13,2","-19,3","202,9","-207,1","11,17",0,"200,1","1,3",100
Somogyszentpál,Kistelepülés,2014,"5,4","-92,7","0,9","590150,9",0,"534,9",0,"-0,8",0,"229,8","324675,5",0,-794,"0,6","1,4",0,0,"-0,5","19,5","-4,4",0,0,"8,9","142,9","20,1","2,1","-7,3","0,2",0,"11,27",0,"96,6",2,-564
Barbacs,Kistelepülés,2014,"-18,2","1,1","1,3","1072899,7",0,"42,1","-8,88",0,0,"73,8","-3080,0818","3,2",0,"18,1","6,4",0,"-1,4",-1,"-16,6","-0,2",0,"0,1","-1,5",0,"-22,2","12,5","3,7","60,5",0,"9,95",0,"150,4","0,9",228
Harc,Kistelepülés,2014,-10,"-17,8","2,6","1129810,1",0,"197,8","8,92","0,3","40,9","124,1","-20788,023",-3,0,"4,7","14,2",0,"0,2","-4,4","-37,6","-3,8","15,9","-1,7","1,2","-20,7","-14,8","-14,5","-13,4",119,-67,"13,6",0,"187,4","1,4",64
Sáp,Kistelepülés,2014,"-14,7","-4,9",1,"701108,1",0,"256,4","49,86",-2,0,"-20,6","44736,3683","2,9",0,"-2,5","-5,6","2,6","0,3",0,"3,9","-9,1","-0,4","-0,1","5,5",0,"-15,6","-6,8","-6,1","66,7","-30,9","3,78",0,"123,8","1,5",-291
